"date","daily.demand"
2014-06-12,15
2014-06-13,18
2014-06-14,18
2014-06-15,17
2014-06-16,17
2014-06-17,15
2014-06-18,16
2014-06-19,17
2014-06-20,16
2014-06-21,14
2014-06-22,12
2014-06-23,15
2014-06-24,18
2014-06-25,16
2014-06-26,22
2014-06-27,20
2014-06-28,22
2014-06-30,22
2014-07-01,20
2014-07-02,21
2014-07-03,20
2014-07-04,18
2014-07-05,16
2014-07-06,18
2014-07-07,18
2014-07-08,20
2014-07-09,16
2014-07-10,18
2014-07-11,15
2014-07-12,17
2014-07-13,18
2014-07-14,18
2014-07-15,16
2014-07-16,19
2014-07-17,17
2014-07-18,15
2014-07-19,13
2014-07-20,13
2014-07-21,17
2014-07-22,17
2014-07-23,14
2014-07-24,14
2014-07-25,17
2014-07-26,17
2014-07-27,21
2014-07-28,19
2014-07-29,20
2014-07-31,22
2014-08-01,16
2014-08-02,18
2014-08-03,21
2014-08-04,21
2014-08-05,23
2014-08-06,23
2014-08-07,21
2014-08-08,23
2014-08-09,18
2014-08-10,19
2014-08-11,23
2014-08-12,24
2014-08-13,20
2014-08-14,17
2014-08-15,20
2014-08-16,18
2014-08-17,17
2014-08-18,21
2014-08-19,21
2014-08-20,19
2014-08-21,16
2014-08-22,16
2014-08-23,12
2014-08-24,14
2014-08-25,14
2014-08-26,17
2014-08-27,17
2014-08-28,14
2014-08-29,15
2014-08-30,13
2014-09-01,16
2014-09-02,20
2014-09-03,17
2014-09-04,16
2014-09-05,17
2014-09-06,10
2014-09-07,11
2014-09-08,15
2014-09-09,11
2014-09-10,12
2014-09-11,16
2014-09-12,16
2014-09-13,16
2014-09-14,15
2014-09-15,17
2014-09-16,15
2014-09-17,15
2014-09-18,16
2014-09-19,15
2014-09-20,14
2014-09-21,14
2014-09-22,13
2014-09-23,14
2014-09-24,15
2014-09-25,15
2014-09-26,14
2014-09-27,13
2014-09-28,13
2014-09-29,16
2014-09-30,16
2014-10-01,15
2014-10-03,22
2014-10-04,18
2014-10-05,15
2014-10-06,16
2014-10-07,17
2014-10-08,14
2014-10-09,19
2014-10-10,17
2014-10-11,15
2014-10-12,14
2014-10-13,15
2014-10-14,18
2014-10-15,14
2014-10-16,14
2014-10-17,15
2014-10-18,14
2014-10-19,13
2014-10-20,12
2014-10-21,11
2014-10-22,18
2014-10-23,17
2014-10-24,14
2014-10-25,10
2014-10-26,13
2014-10-27,13
2014-10-28,18
2014-10-29,17
2014-10-30,14
2014-10-31,15
2014-11-01,16
2014-11-03,18
2014-11-04,17
2014-11-05,20
2014-11-06,22
2014-11-07,22
2014-11-08,18
2014-11-09,12
2014-11-10,15
2014-11-11,19
2014-11-12,17
2014-11-13,15
2014-11-14,16
2014-11-15,15
2014-11-16,13
2014-11-17,11
2014-11-18,12
2014-11-19,12
2014-11-20,14
2014-11-21,14
2014-11-22,12
2014-11-23,11
2014-11-24,13
2014-11-25,11
2014-11-26,13
2014-11-27,15
2014-11-28,14
2014-11-29,14
2014-11-30,13
2014-12-01,16
2014-12-02,14
2014-12-03,16
2014-12-05,15
2014-12-06,15
2014-12-07,19
2014-12-08,18
2014-12-09,20
2014-12-10,17
2014-12-11,17
2014-12-12,13
2014-12-13,13
2014-12-14,10
2014-12-15,12
2014-12-16,12
2014-12-17,14
2014-12-18,14
2014-12-19,16
2014-12-20,15
2014-12-21,12
2014-12-22,9
2014-12-23,8
2014-12-24,9
2014-12-25,6
2014-12-26,6
2014-12-27,7
2014-12-28,7
2014-12-29,7
2014-12-30,7
2014-12-31,8
2015-01-01,6
2015-01-02,6
2015-01-03,8
2015-01-05,12
2015-01-06,13
2015-01-07,14
2015-01-08,11
2015-01-09,12
2015-01-10,13
2015-01-11,10
2015-01-12,10
2015-01-13,13
2015-01-14,12
2015-01-15,13
2015-01-16,17
2015-01-17,13
2015-01-18,12
2015-01-19,14
2015-01-20,15
2015-01-21,18
2015-01-22,18
2015-01-23,15
2015-01-24,13
2015-01-25,10
2015-01-26,14
2015-01-27,18
2015-01-28,15
2015-01-29,13
2015-01-30,11
2015-01-31,9
2015-02-01,11
2015-02-02,15
2015-02-03,13
2015-02-04,14
2015-02-06,18
2015-02-07,17
2015-02-08,15
2015-02-09,14
2015-02-10,9
2015-02-11,9
2015-02-12,12
2015-02-13,14
2015-02-14,13
2015-02-15,12
2015-02-16,11
2015-02-17,11
2015-02-18,12
2015-02-19,14
2015-02-20,13
2015-02-21,11
2015-02-22,11
2015-02-23,10
2015-02-24,7
2015-02-25,8
2015-02-26,7
2015-02-27,9
2015-02-28,11
2015-03-01,10
2015-03-02,11
2015-03-03,9
2015-03-04,8
2015-03-05,9
2015-03-06,9
2015-03-07,10
2015-03-08,8
2015-03-10,14
2015-03-11,9
2015-03-12,11
2015-03-13,7
2015-03-14,8
2015-03-15,8
2015-03-16,10
2015-03-17,8
2015-03-18,6
2015-03-19,10
2015-03-20,11
2015-03-21,7
2015-03-22,12
2015-03-23,15
2015-03-24,15
2015-03-25,13
2015-03-26,15
2015-03-27,12
2015-03-28,9
2015-03-29,7
2015-03-30,8
2015-03-31,10
2015-04-01,11
2015-04-02,13
2015-04-03,12
2015-04-04,10
2015-04-05,10
2015-04-06,13
2015-04-08,9
2015-04-09,5
2015-04-10,4
2015-04-11,8
2015-04-12,7
2015-04-13,4
2015-04-14,4
2015-04-15,7
2015-04-16,13
2015-04-17,12
2015-04-18,10
2015-04-19,11
2015-04-20,9
2015-04-21,7
2015-04-22,6
2015-04-23,12
2015-04-24,12
2015-04-25,15
2015-04-26,13
2015-04-27,13
2015-04-28,12
2015-04-29,12
2015-04-30,11
2015-05-01,11
2015-05-02,11
2015-05-03,9
2015-05-04,10
2015-05-05,9
2015-05-06,8
2015-05-07,9
2015-05-08,14
2015-05-10,11
2015-05-11,8
2015-05-12,7
2015-05-13,9
2015-05-14,10
2015-05-15,8
2015-05-16,12
2015-05-17,14
2015-05-18,16
2015-05-19,12
2015-05-20,11
2015-05-21,15
2015-05-22,9
2015-05-23,10
2015-05-24,9
2015-05-25,8
2015-05-26,12
2015-05-27,13
2015-05-28,10
2015-05-29,8
2015-05-30,9
2015-05-31,8
2015-06-01,5
2015-06-02,6
2015-06-03,6
2015-06-04,9
2015-06-05,9
2015-06-06,9
2015-06-07,8
2015-06-08,9
2015-06-10,10
2015-06-11,13
2015-06-12,10
2015-06-13,10
2015-06-14,9
2015-06-15,11
2015-06-16,12
2015-06-17,10
