Year,Month,Day,toolb.dd
2015,1,2,49
2015,1,3,56
2015,1,5,59
2015,1,6,52
2015,1,7,53
2015,1,8,51
2015,1,9,51
2015,1,10,47
2015,1,11,50
2015,1,12,54
2015,1,13,60
2015,1,14,59
2015,1,15,55
2015,1,16,54
2015,1,17,43
2015,1,18,51
2015,1,19,49
2015,1,20,48
2015,1,21,52
2015,1,22,55
2015,1,23,53
2015,1,24,55
2015,1,25,46
2015,1,26,41
2015,1,27,44
2015,1,28,45
2015,1,29,44
2015,1,30,43
2015,1,31,46
2015,2,1,47
2015,2,2,47
2015,2,3,39
2015,2,4,42
2015,2,6,48
2015,2,7,48
2015,2,8,51
2015,2,9,46
2015,2,10,46
2015,2,11,49
2015,2,12,50
2015,2,13,48
2015,2,14,44
2015,2,15,46
2015,2,16,42
2015,2,17,48
2015,2,18,49
2015,2,19,50
2015,2,20,47
2015,2,21,47
2015,2,22,45
2015,2,23,45
2015,2,24,43
2015,2,25,45
2015,2,26,41
2015,2,27,41
2015,2,28,37
2015,3,1,37
2015,3,2,39
2015,3,3,38
2015,3,4,32
2015,3,5,32
2015,3,6,32
2015,3,7,34
2015,3,8,35
2015,3,10,27
2015,3,11,25
2015,3,12,26
2015,3,13,30
2015,3,14,27
2015,3,15,26
2015,3,16,20
2015,3,17,20
2015,3,18,17
2015,3,19,20
2015,3,20,22
2015,3,21,21
2015,3,22,22
2015,3,23,24
2015,3,24,25
2015,3,25,29
2015,3,26,24
2015,3,27,25
2015,3,28,19
2015,3,29,19
2015,3,30,17
2015,3,31,18
2015,4,1,23
2015,4,2,21
2015,4,3,23
2015,4,4,24
2015,4,5,23
2015,4,6,22
2015,4,8,27
2015,4,9,24
2015,4,10,25
2015,4,11,22
2015,4,12,22
2015,4,13,22
2015,4,14,22
2015,4,15,23
2015,4,16,22
2015,4,17,27
2015,4,18,23
2015,4,19,19
2015,4,20,24
2015,4,21,20
2015,4,22,23
2015,4,23,24
2015,4,24,22
2015,4,25,23
2015,4,26,21
2015,4,27,22
2015,4,28,24
2015,4,29,28
2015,4,30,26
2015,5,1,31
2015,5,2,30
2015,5,3,30
2015,5,4,26
2015,5,5,22
2015,5,6,22
2015,5,7,21
2015,5,8,24
2015,5,10,28
2015,5,11,26
2015,5,12,23
2015,5,13,19
2015,5,14,16
2015,5,15,14
2015,5,16,15
2015,5,17,13
2015,5,18,14
2015,5,19,14
2015,5,20,14
2015,5,21,17
2015,5,22,19
2015,5,23,24
2015,5,24,23
2015,5,25,19
2015,5,26,17
2015,5,27,22
2015,5,28,19
2015,5,29,19
