Year,Month,Day,toolc.dd
2015,6,4,4
2015,6,5,4
2015,6,6,3
2015,6,7,3
2015,6,8,3
2015,6,9,4
2015,6,10,5
2015,6,11,4
2015,6,12,5
2015,6,13,5
2015,6,14,4
2015,6,15,3
2015,6,16,3
2015,6,17,5
2015,6,18,4
2015,6,19,8
2015,6,20,9
2015,6,21,8
2015,6,22,5
2015,6,23,4
2015,6,24,7
2015,6,25,5
2015,6,26,7
2015,6,27,7
2015,6,28,8
2015,6,29,6
2015,6,30,5
2015,7,1,5
2015,7,2,5
2015,7,3,5
2015,7,4,5
2015,7,5,4
2015,7,6,4
2015,7,7,5
2015,7,8,5
2015,7,9,7
2015,7,10,6
2015,7,11,4
2015,7,12,4
2015,7,13,6
2015,7,14,4
2015,7,15,5
2015,7,16,6
2015,7,17,5
2015,7,18,5
2015,7,19,5
2015,7,20,5
2015,7,21,4
2015,7,22,5
2015,7,23,3
2015,7,24,6
2015,7,25,8
2015,7,26,8
2015,7,27,7
2015,7,28,2
2015,7,29,0
2015,7,30,3
2015,7,31,2
2015,8,1,1
2015,8,2,1
2015,8,3,2
2015,8,4,2
2015,8,5,4
2015,8,6,4
2015,8,7,4
2015,8,8,6
2015,8,9,5
2015,8,10,3
2015,8,11,4
2015,8,12,4
2015,8,13,3
2015,8,14,5
2015,8,15,6
2015,8,16,6
2015,8,17,6
2015,8,18,4
2015,8,19,5
2015,8,20,4
2015,8,21,4
2015,8,22,2
2015,8,23,1
2015,8,24,3
2015,8,25,3
2015,8,26,3
2015,8,27,5
2015,8,28,5
2015,8,29,6
2015,8,30,6
2015,8,31,9
2015,9,1,9
2015,9,2,8
2015,9,3,5
2015,9,4,8
2015,9,5,8
2015,9,6,5
2015,9,7,6
2015,9,8,4
2015,9,9,2
2015,9,10,2
2015,9,11,2
2015,9,12,1
2015,9,13,1
2015,9,14,1
2015,9,15,4
2015,9,16,5
2015,9,17,4
2015,9,18,5
2015,9,19,5
2015,9,20,6
2015,9,21,5
2015,9,22,7
2015,9,23,4
2015,9,24,5
2015,9,25,3
2015,9,26,3
2015,9,27,3
2015,9,28,3
2015,9,29,3
2015,9,30,3
2015,10,1,4
2015,10,2,4
2015,10,3,4
2015,10,4,4
2015,10,5,5
2015,10,6,5
2015,10,7,4
2015,10,8,5
2015,10,9,5
2015,10,10,6
2015,10,11,5
2015,10,12,4
2015,10,13,5
2015,10,14,5
2015,10,15,6
2015,10,16,7
2015,10,17,8
2015,10,18,8
2015,10,19,3
2015,10,20,3
2015,10,21,6
2015,10,22,7
2015,10,23,4
2015,10,24,5
2015,10,25,6
